Academic Year,College/School,Division,Department,Major,Degree,Average GPA,Headcount
2016-17,Clg of Chemistry,Clg of Chemistry,Chemistry,Chemical Biology,Bachelor of Science,3.3026,50
2016-17,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,Bachelor of Arts,3.221245283,106
2016-17,Clg of Environmental Design,Clg of Environmental Design,Landscape Arch & Env Plan,Sustainable Environ Dsgn,Bachelor of Arts,3.5356,20
2016-17,Clg of Environmental Design,Clg of Environmental Design,Landscape Arch & Env Plan,Landscape Architecture,Bachelor of Arts,3.263411765,17
2016-17,Clg of Environmental Design,Clg of Environmental Design,City & Regional Planning,Urban Studies,Bachelor of Arts,3.275823529,34
2017-18,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Cognitive Science,Bachelor of Arts,3.161879085,306
2017-18,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Political Economy,Bachelor of Arts,3.206781513,238
2017-18,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Peace & Conflict Studies,Bachelor of Arts,3.477629032,62
2017-18,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Development Studies,Bachelor of Arts,3.148925926,54
2017-18,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Asian Studies - China,Bachelor of Arts,3.334,12
2017-18,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Asian Studies,Bachelor of Arts,3.1127,10
2017-18,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Global Studies,Bachelor of Arts,3.168285714,7
2017-18,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Latin American Studies,Bachelor of Arts,3.059857143,7
2017-18,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Middle Eastern Studies,Bachelor of Arts,3.582142857,7
2017-18,Clg of Letters & Science,L&S Social Sciences Division,Economics,Economics,Bachelor of Arts,3.478739329,656
2017-18,Clg of Letters & Science,L&S Social Sciences Division,Political Science,Political Science,Bachelor of Arts,3.404347087,412
2017-18,Clg of Letters & Science,L&S Social Sciences Division,Sociology,Sociology,Bachelor of Arts,3.31396831,284
2017-18,Clg of Letters & Science,L&S Social Sciences Division,Psychology,Psychology,Bachelor of Arts,3.39111985,267
2017-18,Clg of Letters & Science,L&S Social Sciences Division,History,History,Bachelor of Arts,3.456589286,168
2017-18,Clg of Letters & Science,L&S Social Sciences Division,Anthropology,Anthropology,Bachelor of Arts,3.470786325,117
2017-18,Clg of Letters & Science,L&S Social Sciences Division,Linguistics,Linguistics,Bachelor of Arts,3.406522388,67
2017-18,Clg of Letters & Science,L&S Social Sciences Division,Geography,Geography,Bachelor of Arts,3.282515625,64
2017-18,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,Ethnic Studies,Bachelor of Arts,3.477552632,38
